"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"129361",1376271,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Kunino","","","","marine invertebrate","Dochev and Metodiev 2016",2016
"129366",1376277,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Darmantsi","","","","marine invertebrate","Dochev and Metodiev 2016",2016
"129437",1377618,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Neuburger Weiß","","","","marine invertebrate","Schneider et al. 2013",2013
"129472",1382162,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Brussels Sand","","","1893","vertebrate","Pérez-García and Smith 2017",2017
"129824",1384599,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","La Peña","","","","marine invertebrate","Ovando-Figueroa et al. 2018",2018
"129842",1384712,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Andrew Lake","","","","marine invertebrate","Scholl et al. 1970",1970
"129845",1385367,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Windalia Radiolarite","","","","marine invertebrate","Brunnschweiler 1959",1959
"129848",1385370,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Tambo","","","","marine invertebrate","Brunnschweiler 1959",1959
"129851",1385636,"Campanian","Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Korojon","","","","marine invertebrate","Brunnschweiler 1966",1966
"130619",1388395,"Late Tithonian","Early Berriasian",145.06,NA,"",141,NA,"",NA,NA,"","Devils Point","","","","marine invertebrate","Dochev et al. 2017",2017
"130625",1388919,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Thies","Ngazobil","","","marine invertebrate,micropaleontology,vertebrate","Claeson et al. 2015",2015
"130626",1390121,"Cenomanian","",100.5,0.7,"U/Pb",93.9,NA,"",NA,NA,"","Cerro Fortaleza","","","","","Goin et al. 2002",2002
"130630",1390178,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Törökbálint","","","","vertebrate","Vician et al. 2017",2017
"130631",1390256,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Markley","","","","marine invertebrate","Clark 1938",1938
"130712",1390480,"Bridgerian","",51.1,NA,"",45.9,NA,"",NA,NA,"","Wind River","","","","freshwater","Yen 1948",1948
"130735",1390503,"Bridgerian","",51.1,NA,"",45.9,NA,"",NA,NA,"","Green River","Laney","","","vertebrate","McKenna et al. 1962",1962
"130737",1390780,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Siltstone of Cliff Point","","","","marine invertebrate","Hryniewicz et al. 2017",2017
"130741",1390784,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Basilika","","","","marine invertebrate","Hryniewicz et al. 2017",2017
"130749",1390891,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Nuibetsu","","","","marine invertebrate","Hryniewicz et al. 2017",2017
"130757",1390900,"Late Eocene","Early Oligocene",37.71,NA,"",27.3,NA,"",NA,NA,"","Tanamigawa","","","","marine invertebrate","Hryniewicz et al. 2017",2017
"130880",1393694,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Agua Salada","","","","marine invertebrate","Robert et al. 2018",2018
"130890",1393704,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Nogal","","","","marine invertebrate","Robert et al. 2018",2018
"130940",1393943,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Middle part","Lower","","1983-1984","","Dorado Galindo 1990",1990
"130980",1396205,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Borysthenic","","","","vertebrate","Gol'din et al. 2018",2018
"130982",1396706,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Garagu","Lower","","","","Howarth 1992",1992
"130985",1396709,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Chia Gara","","","","","Howarth 1992",1992
"131009",1397161,"Early Berriasian","Middle Berriasian",143.1,NA,"",139.1,NA,"",NA,NA,"","La Caja","El Verde","","","","Olóriz et al. 1999",1999
"131037",1397336,"Early Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Bodzanów","","","","","Dziadzio et al. 2004",2004
"131054",1397353,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Włocławek","","","","","Dziadzio et al. 2004",2004
"131114",1398869,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Nestucca","","","","marine invertebrate","Hickman 2018",2018
"131195",1399484,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Ashawq","Shizar","","2010","vertebrate","Al-Kindi et al. 2017",2017
"131248",1401023,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Las Virgenes","","","June 3, 1910","marine invertebrate","Waring 1917",1917
"131336",1401773,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Kingongo Marls","","","","marine invertebrate","Kennedy and Morris 2018",2018
"131358",1401798,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Hibernian Greensands","Belfast Marls","","","marine invertebrate","Gale et al. 2018",2018
"131506",1404712,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Wagonwheel","middle siltstone","","1994","marine invertebrate","Squires and Gring 1996",1996
"131868",1408968,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Cozy Dell","","","","marine invertebrate","Weaver and Kleinpell 1963",1963
"131885",1409456,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Lincoln","","","1961","marine invertebrate","Durham and Zullo 1961",1961
"131899",1415589,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Siletz River Volcanics ","","","","marine invertebrate","Hickman 1976",1976
"131957",1416930,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Yakataga","","","","marine invertebrate","Clark 1932",1932
"132015",1419378,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Yingzuilazi","","","","paleobotany,paleoentomology","Li et al. 2018",2018
"132018",1421526,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Hengtongshan","","","","","Wu et al. 2018",2018
"132026",1422875,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Sanganeh","","","","marine invertebrate","Lehmann et al. 2019",2019
"132095",1425562,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Tentúgal","Lower","","","vertebrate","Mateus et al. 2019",2019
"132185",1428402,"Middle Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Polány Marl","Rendek","","","marine invertebrate","Főzy 2001",2001
"132195",1428660,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Rio Grande Limestone","","","","marine invertebrate","Hennhoefer et al. 2012",2012
"132222",1431963,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Muwaddar Chalk Marl","","","","marine invertebrate,vertebrate","Jagt et al. 2019",2019
"132227",1432586,"Late Paleocene","Early Eocene",59.24,NA,"",48.07,NA,"",NA,NA,"","Goler","","","","marine invertebrate","Squires et al. 1988",1988
"132253",1433348,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Tarawan","","","","marine invertebrate","Hewaidy et al. 2019",2019
"132258",1433353,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","El Rufuf","","","","marine invertebrate","Hewaidy et al. 2019",2019
"132261",1433394,"Uintan","",45.9,NA,"",39.7,NA,"",NA,NA,"","Colmena Tuff","lower sorted facies","","","vertebrate","Roth 1984",1984
"132265",1433398,"Duchesnean","",39.7,NA,"",37,NA,"",NA,NA,"","Chambers Tuff","","","","vertebrate","Roth 1984",1984
"132266",1433399,"Late Uintan","",45.9,NA,"",39.7,NA,"",NA,NA,"","Devil's Graveyard","Middle","","","vertebrate","Roth 1984",1984
"132287",1434114,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Kirker","lower sandstone","","","vertebrate","Clark 1915",1915
"132288",1434178,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Taraklı","","","","marine invertebrate","Gormus et al. 2019",2019
"132694",1438018,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Elrhaz","","parautochthonous","1965–1966, 1970, 1973","vertebrate","Mongin and Lapparent 1968",1968
"132699",1438076,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Mission Valley","","","","vertebrate","Kennedy and Moore 1971",1971
"132703",1438082,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Delmar","","","","vertebrate","Givens and Kennedy 1976",1976
"132757",1438262,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Mount Soledad","","","","vertebrate","Givens and Kennedy 1979",1979
"133201",1438816,"Early Uintan","",45.9,NA,"",39.7,NA,"",NA,NA,"","Friars","","","","vertebrate","Givens and Kennedy 1979",1979
"133206",1438821,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Stadium","","","","vertebrate","Givens and Kennedy 1979",1979
"133293",1439187,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Roseburg","","","","vertebrate","Turner 1938",1938
"133306",1439230,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Gucuo II","","","","","Fang et al. 2009",2009
"133417",1439410,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Flournoy","","","","marine invertebrate,vertebrate","Turner 1938",1938
"133466",1439521,"Berriasian","Valanginian",143.1,NA,"",132.6,NA,"",NA,NA,"","Mengyin","","parautochthonous","","","Fang et al. 2009",2009
"133467",1439522,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Qagan Limen Nur","","","","","Fang et al. 2009",2009
"133553",1439637,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Umpqua","lower","","","vertebrate","Turner 1938",1938
"133622",1439720,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Nenjiang/Sifangtai","","","","","Fang et al. 2009",2009
"133623",1440119,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Jingxing","","","","","Fang et al. 2009",2009
"133625",1440121,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Tujingzi","","","","","Fang et al. 2009",2009
"133629",1440125,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Yongfu","","","","","Fang et al. 2009",2009
"133630",1440126,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Duoni","","","","","Fang et al. 2009",2009
"133631",1440128,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Gaofengsi","","","","","Fang et al. 2009",2009
"133863",1440375,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Puchanghe","","","","","Fang et al. 2009",2009
"133865",1440377,"Late Cretaceous","",100.5,NA,"",66,NA,"",NA,NA,"","Dongtang","","","","","Fang et al. 2009",2009
"133896",1440410,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Jiangguan","","","","","Fang et al. 2009",2009
"134194",1440875,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Xiguayuan","","","","","Fang et al. 2009",2009
"134206",1440938,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Bali","","","","","Fang et al. 2009",2009
"134217",1440949,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Hanyangpu","","","","","Fang et al. 2009",2009
"134241",1440995,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Nenjiang","","","","","Fang et al. 2009",2009
"134242",1441004,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Jiagang","","","","","Fang et al. 2009",2009
"134244",1441010,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Kukebai","","","","","Fang et al. 2009",2009
"134246",1441015,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Zhonggou","","","","","Fang et al. 2009",2009
"134248",1441020,"Late Barremian","Early Aptian",125.77,NA,"",119.57,NA,"",NA,NA,"","Yixian","","","","","Fang et al. 2009",2009
"134252",1441215,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Hsanda Gol","","","","vertebrate","Daxner-Höck et al. 2017",2017
"134648",1448019,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Coldwater","","","","vertebrate","Squires 1994",1994
